# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 08:18:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/survival/survival-202604291618-4-55e6ab.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161807/survival/survival-profile-202604291618-4-21e7f6.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.550665
# Diagonal elements of inverse mass matrix:
# 0.00497654, 0.0141734, 0.0494589, 0.0797151, 0.116376, 0.61808, 0.0121066
-851.18757,0.81945225,0.55066524,3,7,0,852.74155,-1.6689464,-1.2275963,-1.3882538,-1.4498434,-0.86049042,-1.1583565,-0.76176871,0.46683999
-854.66922,0.9359326,0.55066524,3,7,0,856.23251,-1.533106,-1.6487927,-1.6719136,-1.4333592,-1.0483717,-0.71467742,-0.96827351,0.37973809
-853.87655,0.94245481,0.55066524,2,7,0,858.9555,-1.5870858,-1.538148,-1.4833396,-1.1185762,-1.2514309,-0.1531043,-0.73555654,0.47923867
-849.76434,1,0.55066524,2,3,0,855.03034,-1.6343278,-1.5561084,-1.5162656,-1.3140565,-1.0565287,-0.75384072,-0.83696577,0.43302242
-850.14533,0.72206605,0.55066524,2,7,0,854.46194,-1.7426402,-1.3379917,-1.658252,-1.1986124,-0.42025635,-2.2238465,-0.92576253,0.39622917
-850.68575,0.88853206,0.55066524,3,7,0,854.43953,-1.5169145,-1.3197508,-1.593274,-0.87960142,-0.89220493,-1.8840024,-0.91010137,0.40248342
-850.78792,0.86818816,0.55066524,3,7,0,853.78425,-1.7427391,-1.3324372,-1.773119,-1.2192283,-1.1318876,-1.6485044,-0.94739791,0.38774867
-853.40457,0.83900047,0.55066524,2,3,0,854.68596,-1.7400364,-1.4275065,-1.6987114,-1.308044,-1.1677731,-1.7361921,-1.0247043,0.35890258
-850.2395,0.92211046,0.55066524,3,7,0,857.95769,-1.6755645,-1.5333294,-1.8560069,-1.7852527,-1.0887333,-1.2882777,-0.80207756,0.44839643
-850.32046,0.97050704,0.55066524,3,7,0,852.65377,-1.6778509,-1.2841494,-1.7716185,-1.1888303,-0.55985877,-1.6169657,-1.0422148,0.3526727
-852.35686,0.93246468,0.55066524,3,7,0,853.96742,-1.7046766,-1.1357079,-1.7657334,-1.431676,-0.29931176,-0.76197276,-0.93537754,0.39243768
-851.7759,0.83168943,0.55066524,2,7,0,856.63221,-1.6253008,-1.1658162,-1.7691816,-1.3655205,-0.36952202,-1.2629884,-0.80833893,0.44559762
-850.76387,0.97764805,0.55066524,3,7,0,855.2609,-1.6809972,-1.2821844,-1.3801614,-1.40365,-0.55605266,-1.1709252,-0.76101006,0.46719429
-851.83041,0.98086655,0.55066524,3,7,0,853.78613,-1.7437628,-1.3495287,-1.6101166,-1.1354367,-1.1623039,-2.4121088,-0.97067198,0.37882839
-850.92064,0.98234402,0.55066524,3,7,0,853.78344,-1.6343652,-1.2857355,-1.697958,-1.6313035,-0.30110875,-1.0667683,-0.78389483,0.45662407
-850.41274,0.83430851,0.55066524,2,3,0,854.64823,-1.7086817,-1.2520559,-1.7764519,-1.4722141,-0.46836842,-2.0441916,-0.77564415,0.46040711
-850.44682,0.80768555,0.55066524,3,7,0,858.06639,-1.597113,-1.5094937,-1.7674107,-1.1877213,-1.2350508,-1.1625315,-0.92253633,0.39750955
-853.19595,0.84492373,0.55066524,3,7,0,856.65264,-1.499011,-1.4122753,-1.836331,-1.8584334,-0.82292942,-2.1699706,-0.82066498,0.44013887
-851.97312,0.99821997,0.55066524,3,7,0,857.88932,-1.8011212,-1.4416502,-1.8530593,-1.056276,-0.61314967,-0.45472979,-0.85461428,0.42544726
-850.49526,0.97051457,0.55066524,2,3,0,853.27908,-1.7833287,-1.4077774,-1.8821665,-1.2752879,-0.48243309,-0.80934733,-0.78884557,0.45436903
-848.66705,1,0.55066524,3,7,0,851.10253,-1.6732616,-1.4510029,-1.4898545,-1.3730299,-1.136596,-1.4413493,-0.78912172,0.45424357
-849.24363,0.96419515,0.55066524,3,7,0,852.53088,-1.5789089,-1.3320017,-1.389529,-1.0690625,-0.87416554,-1.3791169,-1.0155553,0.36220123
-848.92165,0.96513345,0.55066524,3,7,0,851.37287,-1.6853313,-1.2570662,-1.5319163,-1.3139988,-0.69119166,-2.1535052,-0.88628901,0.41218252
-847.96749,0.96497824,0.55066524,3,7,0,850.57634,-1.6231884,-1.4265728,-1.6759588,-1.2631514,-0.61498513,-0.81679729,-0.8712135,0.41844346
-848.12267,0.90823147,0.55066524,3,7,0,850.02417,-1.6749236,-1.3299038,-1.6169404,-1.2607315,-0.84643287,-1.8515036,-0.7944353,0.45183631
-850.56591,0.88210713,0.55066524,3,7,0,853.47613,-1.6198873,-1.4032216,-2.0630038,-1.5558539,-0.59353644,-0.8511793,-0.9120637,0.40169439
-848.5044,0.98519668,0.55066524,2,7,0,852.00322,-1.6112378,-1.4396231,-1.870724,-1.3481349,-0.65849504,-1.2121113,-0.88611585,0.4122539
-850.00252,0.93420499,0.55066524,2,7,0,851.11311,-1.704996,-1.4073103,-1.5521193,-1.1951658,-0.82023602,-3.2213543,-0.7843256,0.45642741
-851.81726,0.86783289,0.55066524,3,7,0,854.48059,-1.8386958,-1.4735074,-1.6794877,-1.1364075,-1.0271523,-2.1646137,-0.77209545,0.46204386
-850.15234,0.93870484,0.55066524,3,7,0,854.69892,-1.7085152,-1.4560012,-1.4583625,-1.7379892,-1.0208929,-2.0408968,-0.73856182,0.47780058
-849.34316,0.99288826,0.55066524,3,7,0,851.66584,-1.6212164,-1.3060573,-1.8320079,-0.96151292,-0.70936386,-2.06898,-0.95311935,0.38553652
-851.68657,0.8870902,0.55066524,2,7,0,854.53452,-1.6466274,-1.3398846,-2.2828473,-1.1958133,-1.0353155,-0.8853972,-0.81503441,0.4426241
-851.03862,0.8151294,0.55066524,3,7,0,856.79359,-1.6186782,-1.2909181,-1.8067111,-1.9775942,-0.65530756,-1.7284982,-0.84299454,0.43041968
-848.60207,0.95865144,0.55066524,3,7,0,853.54146,-1.6588778,-1.3245558,-1.6354236,-0.89425955,-0.81582286,-1.2796021,-0.923119,0.397278
-848.91308,0.8679016,0.55066524,3,7,0,850.9104,-1.6484381,-1.3675596,-1.5548967,-1.5312496,-0.54251727,-1.2715068,-0.77094348,0.46257643
-849.96263,0.87338913,0.55066524,3,7,0,852.24334,-1.7292332,-1.3577137,-1.5633367,-1.5323967,-0.815536,-2.5698524,-0.72489886,0.48437356
-850.03083,0.95433944,0.55066524,3,7,0,851.62599,-1.737519,-1.4202636,-1.5787439,-1.2905401,-0.56061335,-2.5623048,-0.73655602,0.47875992
-852.10766,0.74863336,0.55066524,2,3,0,855.50072,-1.7681892,-1.5028765,-1.5833544,-0.8338704,-0.73149073,-2.220045,-0.88399601,0.41312874
