# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 08:16:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-202604291616-2-567254.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-profile-202604291616-2-95ab74.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.526245
# Diagonal elements of inverse mass matrix:
# 0.00559221, 0.0144852, 0.0490224, 0.0933009, 0.120684, 0.627918, 0.0133709
-849.08557,0.94510947,0.5262449,2,3,0,852.99995,-1.6196006,-1.4246196,-1.4763671,-1.0438931,-0.75767158,-1.8088396,-0.80256341,0.44817863
-851.8135,0.80207485,0.5262449,2,7,0,855.58298,-1.6644267,-1.2654377,-2.0816431,-1.2359089,-0.22854767,-0.94357815,-0.9414685,0.39005462
-854.35454,0.86135566,0.5262449,3,7,0,859.23538,-1.7348127,-1.6113958,-1.4402844,-1.5445849,-1.7168518,-1.9068627,-0.63550009,0.52967054
-852.75586,1,0.5262449,3,7,0,855.9756,-1.7161972,-1.6698099,-1.5775344,-1.6184149,-1.452855,-1.9950877,-0.66970498,0.51185956
-851.37709,0.99831638,0.5262449,3,7,0,855.43427,-1.772392,-1.2445417,-1.8744295,-1.417155,-0.68442025,-0.71117614,-0.76176986,0.46683946
-848.48457,1,0.5262449,3,7,0,852.4066,-1.6919449,-1.3130528,-1.5188316,-1.440967,-0.92166003,-0.98794863,-0.83404456,0.43428922
-848.92291,0.81877443,0.5262449,3,7,0,851.58826,-1.6606673,-1.4011596,-1.8441993,-1.2882411,-0.65651211,-1.7615175,-0.71776093,0.48784335
-848.19533,0.9885433,0.5262449,2,7,0,850.46644,-1.6531033,-1.425331,-1.6655887,-1.2406179,-0.76115314,-1.3435306,-0.74701763,0.47377743
-849.16895,0.93228285,0.5262449,3,7,0,850.79423,-1.6624242,-1.28449,-1.5863726,-1.4279916,-0.637299,-0.37733469,-0.86557446,0.42080974
-852.23274,0.7929708,0.5262449,3,7,0,854.21407,-1.6396345,-1.1318843,-1.8110858,-1.5625468,-1.0273056,-1.8747334,-0.95191468,0.38600125
-853.63957,0.98363393,0.5262449,3,7,0,857.37049,-1.7603091,-1.5202098,-1.943503,-1.1712505,-0.16723879,-2.3916493,-0.74388297,0.47526489
-848.65617,1,0.5262449,2,7,0,855.07712,-1.6611762,-1.3798085,-1.8816344,-0.98325811,-0.73116723,-1.3065416,-0.87503535,0.41684728
-852.0518,0.75026996,0.5262449,3,7,0,854.53088,-1.6574774,-1.4638595,-2.1435377,-1.8649288,-0.90634709,-1.2956706,-0.63088893,0.53211857
-858.27355,0.72560854,0.5262449,2,3,0,860.36844,-1.7145835,-1.3245761,-2.6214918,-1.7714495,-1.4493292,-1.0814614,-0.7747863,0.46080224
-854.23426,0.98523563,0.5262449,3,7,0,861.37868,-1.7472753,-1.4809897,-1.1583614,-1.1351781,-0.56002985,-2.5858376,-0.96013305,0.38284195
-852.38426,1,0.5262449,2,3,0,854.65525,-1.7098271,-1.4380212,-1.1452548,-1.1800521,-0.64997839,-2.3492509,-0.93247335,0.39357905
-852.33994,0.81635148,0.5262449,3,7,0,859.67695,-1.6694815,-1.2124897,-1.8707131,-0.99191521,-1.338983,-0.50260355,-0.83611285,0.43339191
-849.38557,1,0.5262449,2,3,0,852.94922,-1.678368,-1.2274908,-1.8608039,-1.2032377,-0.9600974,-1.2355552,-0.8814415,0.41418543
-851.44485,0.97561057,0.5262449,3,7,0,852.86836,-1.7185835,-1.6906435,-1.8779697,-1.6336382,-0.86608935,-1.6775027,-0.68108068,0.5060698
-849.48561,0.98352426,0.5262449,3,7,0,853.11509,-1.7054843,-1.2704398,-1.8315645,-1.2731632,-1.1019803,-1.5042399,-0.88663903,0.41203827
-848.83795,1,0.5262449,3,7,0,850.14258,-1.5999703,-1.489541,-1.4684386,-1.2552284,-0.77457659,-1.0131696,-0.84016504,0.43163928
-851.00854,0.84311262,0.5262449,3,7,0,852.96354,-1.5067189,-1.400128,-1.4014539,-1.1393238,-0.48633505,-1.9921682,-0.90067165,0.40629668
-850.06293,0.9980309,0.5262449,3,7,0,851.93711,-1.7782131,-1.32836,-1.8407824,-1.4131035,-1.0185901,-1.000004,-0.82703889,0.43734239
