# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 08:16:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-202604291616-1-567254.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_161628/survival/survival-profile-202604291616-1-95ab74.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.538677
# Diagonal elements of inverse mass matrix:
# 0.00506514, 0.0136358, 0.0423148, 0.0863825, 0.113318, 0.737147, 0.0126255
-848.57082,0.95734898,0.53867711,3,7,0,855.87846,-1.5959426,-1.3944807,-1.8103642,-1.360695,-0.58421998,-0.80445612,-0.84451401,0.42976617
-849.74886,0.88473873,0.53867711,3,7,0,851.42116,-1.7793947,-1.3619631,-1.5942712,-1.1803984,-0.91937564,-1.654514,-0.74452752,0.47495865
-851.30474,0.88648448,0.53867711,3,7,0,853.74379,-1.7018089,-1.4384243,-1.9859761,-1.9720379,-0.76440914,-0.71672599,-0.72786756,0.48293773
-851.5991,0.98060388,0.53867711,3,7,0,855.71604,-1.5731216,-1.2977821,-1.4873657,-0.64247695,-0.69940155,-2.0901715,-1.0694706,0.34319016
-849.85559,0.94091981,0.53867711,3,7,0,854.385,-1.6208522,-1.288758,-1.2962452,-1.5147022,-0.76182842,-1.1770352,-0.86325579,0.4217866
-850.10827,0.93391061,0.53867711,3,7,0,852.39941,-1.6501602,-1.4792816,-2.103255,-1.0598782,-0.91012037,-1.4837198,-0.7994622,0.44957068
-850.67877,0.83869376,0.53867711,3,11,0,855.85499,-1.5488455,-1.2752873,-1.8251495,-0.89054174,-0.6009277,-0.44606245,-1.001905,0.36717928
-852.46677,0.9126025,0.53867711,3,15,0,854.77294,-1.7351996,-1.3568767,-1.1540886,-1.38621,-0.66479577,-2.1103101,-0.94743973,0.38773245
-854.82948,0.88020225,0.53867711,3,7,0,859.54757,-1.7479252,-1.5102157,-1.0694978,-1.5549422,-0.84305093,-1.378891,-0.89424552,0.408916
-854.59732,1,0.53867711,3,7,0,858.41555,-1.5152661,-1.2609967,-2.1549743,-1.1690502,-0.38935656,-2.6567286,-0.87098533,0.41853895
-851.74924,1,0.53867711,3,7,0,856.31629,-1.7457302,-1.4479406,-1.3584166,-1.341273,-1.0192189,-0.36535392,-0.74003275,0.47709829
-851.89123,0.98166253,0.53867711,3,7,0,856.11991,-1.7033612,-1.5974555,-1.3346519,-1.5101397,-0.87276341,-0.78618429,-0.73533411,0.47934528
-849.53163,0.9537049,0.53867711,3,7,0,853.90681,-1.6712939,-1.2798576,-1.8735148,-1.3703327,-1.1511062,-2.0403066,-0.8409536,0.43129904
-848.85093,0.92929577,0.53867711,3,7,0,854.96721,-1.65956,-1.4710791,-1.6678246,-1.2520658,-0.85082863,-2.2572728,-0.89950049,0.40677279
-848.46855,0.9838161,0.53867711,3,7,0,849.73905,-1.602599,-1.3729238,-1.4428018,-1.1793741,-0.87376335,-0.99246889,-0.85392995,0.42573851
-849.95299,0.82125978,0.53867711,3,7,0,852.65776,-1.7208207,-1.3015157,-1.5493473,-1.4092265,-0.75820178,-1.4935827,-0.98644537,0.37289986
-849.47896,0.98974216,0.53867711,3,7,0,852.26843,-1.5343135,-1.3980695,-1.784822,-1.032989,-0.63559128,-1.357163,-0.90600497,0.40413554
-850.65255,0.93386802,0.53867711,3,15,0,854.11589,-1.7844861,-1.4595523,-1.8930229,-1.7638339,-1.21639,-1.4652719,-0.67067007,0.51136581
-852.23649,0.87086867,0.53867711,4,15,0,854.46532,-1.7768893,-1.5560986,-1.7134694,-1.6918428,-1.5730281,-2.1140437,-0.64455794,0.52489453
-851.20787,0.91587807,0.53867711,3,7,0,855.6911,-1.6832428,-1.3167688,-1.9810852,-1.5866575,-0.60232154,-2.800319,-0.72875887,0.48250747
-849.2539,0.84253293,0.53867711,3,7,0,854.16793,-1.7148216,-1.455209,-1.9249386,-1.1358705,-0.71487502,-0.74729321,-0.8121374,0.44390824
-849.2539,0.45431169,0.53867711,2,3,0,855.56219,-1.7148216,-1.455209,-1.9249386,-1.1358705,-0.71487502,-0.74729321,-0.8121374,0.44390824
-849.60036,0.9525911,0.53867711,3,7,0,850.87973,-1.5960286,-1.3260194,-1.5174731,-1.4562131,-0.98667056,-2.5575394,-0.83648857,0.43322911
-849.4834,1,0.53867711,3,7,0,851.15605,-1.7570607,-1.511212,-1.9100802,-1.3100787,-0.70853193,-1.413512,-0.70376957,0.49471692
-849.08219,0.80505967,0.53867711,3,7,0,854.7587,-1.6494258,-1.381892,-1.6368196,-1.5482796,-1.2454739,-1.9508812,-0.77707633,0.4597482
-849.78279,0.91440911,0.53867711,3,7,0,853.14262,-1.6283294,-1.3999232,-1.6928857,-1.0869873,-0.24017685,-2.1921998,-0.88669162,0.41201661
-852.91078,0.95168177,0.53867711,3,7,0,854.8797,-1.5980885,-1.128767,-1.2467701,-1.0664965,-0.78311772,-2.4336344,-1.0893685,0.33642889
-850.13711,0.99702898,0.53867711,3,7,0,853.66537,-1.622549,-1.5241334,-1.8133105,-1.241243,-0.54538781,-0.35281094,-0.85024964,0.42730825
-851.65924,0.97955446,0.53867711,3,7,0,853.5395,-1.6176653,-1.1419223,-1.371455,-0.85236537,-0.62578731,-2.2601406,-1.0197333,0.36069114
-849.05989,0.96595712,0.53867711,3,7,0,855.11285,-1.5769699,-1.4679026,-1.6311938,-1.4127608,-0.61671007,-1.3960887,-0.94161939,0.38999577
-848.96106,0.90033894,0.53867711,3,7,0,852.09919,-1.5680391,-1.3295031,-1.6875939,-1.3301717,-0.37142441,-1.4458051,-0.8961617,0.40813319
-849.57729,0.96542127,0.53867711,3,7,0,851.71004,-1.7613933,-1.3571271,-1.7704348,-1.4382362,-1.1476591,-1.0521589,-0.81802827,0.44130092
-850.55252,0.8752455,0.53867711,3,7,0,852.71342,-1.7485222,-1.4822098,-1.9841506,-1.5148525,-0.66130462,-0.90258546,-0.8427888,0.43050825
-850.17371,0.9057171,0.53867711,3,7,0,853.50686,-1.6839602,-1.4728141,-1.6127922,-1.4770687,-1.2782823,-2.2469221,-0.86933961,0.41922831
-848.11898,0.95901127,0.53867711,2,7,0,851.73734,-1.6886888,-1.3877134,-1.7554862,-1.3257338,-0.79783817,-0.99338712,-0.89318173,0.40935123
-847.89436,0.89882959,0.53867711,3,7,0,851.28321,-1.6206292,-1.3727238,-1.7317896,-1.4363931,-0.77226333,-1.7842733,-0.84577357,0.42922519
-849.8484,0.85831353,0.53867711,3,7,0,852.23409,-1.5630508,-1.2232586,-1.3689023,-1.0344434,-0.52037463,-0.64561222,-1.0140813,0.36273552
-848.83111,0.94506341,0.53867711,3,7,0,851.70122,-1.6013712,-1.4229091,-1.5523729,-1.623233,-0.62701474,-1.2092864,-0.8996586,0.40670849
-850.91762,0.87231558,0.53867711,3,7,0,852.71773,-1.4946905,-1.2913332,-1.8525987,-1.2914906,-0.75944575,-1.3171813,-0.8875129,0.41167837
