# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = continuous_model
# start_datetime = 2026-04-29 06:59:01 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_continuous.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/continuous/continuous-202604291459-1-053c0f.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145900/continuous/continuous-profile-202604291459-1-030534.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=continuous_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_trt,sigma,mean_difference
# Adaptation terminated
# Step size = 0.352537
# Diagonal elements of inverse mass matrix:
# 2.83289, 3.80869, 0.0111165
-158.86685,0.93798331,0.35253716,4,15,0,159.06113,52.662415,-3.6919947,5.7610886,-3.6919947
-158.85187,0.94685606,0.35253716,2,3,0,159.29446,52.907247,-2.3292084,5.6499711,-2.3292084
-160.20777,0.99499676,0.35253716,3,7,0,160.90606,51.031439,-2.1306533,6.468244,-2.1306533
-159.54783,0.99357914,0.35253716,4,15,0,160.51868,51.051246,-1.0181935,4.4135421,-1.0181935
-158.7516,0.84392781,0.35253716,2,3,0,160.04785,51.167968,-0.94687878,4.6622202,-0.94687878
-160.49775,0.7464184,0.35253716,4,15,0,160.77844,51.930397,-0.64953013,4.5804998,-0.64953013
-159.76431,1,0.35253716,3,7,0,161.54029,51.904146,-1.4071244,4.3650233,-1.4071244
-158.18562,0.99758026,0.35253716,2,7,0,160.57505,51.230766,-2.0459803,5.019737,-2.0459803
-158.18562,0.31153154,0.35253716,1,3,0,164.78536,51.230766,-2.0459803,5.019737,-2.0459803
-158.16976,1,0.35253716,4,15,0,158.46071,52.07383,-1.7482346,5.4553158,-1.7482346
-157.92207,0.9967561,0.35253716,3,15,0,158.98261,52.353417,-2.3060898,5.2509857,-2.3060898
-163.49991,0.81221648,0.35253716,3,7,0,164.19931,51.391461,-1.6380342,3.8026362,-1.6380342
-162.93139,0.96483678,0.35253716,3,11,0,163.9749,53.782309,-3.8050061,7.148131,-3.8050061
-161.78294,0.95930352,0.35253716,4,15,0,165.06244,48.889006,-0.076267438,6.7537254,-0.076267438
-160.42423,1,0.35253716,2,3,0,161.80778,50.449019,0.43869758,6.3911104,0.43869758
-159.27938,0.79179946,0.35253716,3,7,0,162.87804,49.394022,0.50726659,5.460353,0.50726659
-158.6031,0.92225851,0.35253716,3,7,0,161.34597,51.701692,-0.93869284,5.4847477,-0.93869284
-158.79039,0.97995078,0.35253716,3,7,0,159.34725,50.54611,-1.1219622,4.7915495,-1.1219622
-158.92191,0.80581859,0.35253716,4,15,0,160.32541,52.340712,-2.5764647,6.0084157,-2.5764647
-159.12172,0.91898174,0.35253716,4,15,0,161.05331,54.072732,-4.7409593,5.3786397,-4.7409593
