# stan_version_major = 2
# stan_version_minor = 38
# stan_version_patch = 0
# model = survival_model
# start_datetime = 2026-04-29 06:58:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/xinyuejia/Projects/POC_场景2/data/stan_input_survival.json
# init = 2 (Default)
# random
#   seed = 20260407
# output
#   file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/survival/survival-202604291458-1-86c6a0.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 8 (Default)
#   profile_file = /Users/xinyuejia/Projects/POC_场景2/outputs/cmdstan/borrowing_v1_20260429_145810/survival/survival-profile-202604291458-1-18c897.csv
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.38.0
# stancflags = --name=survival_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha.1,alpha.2,alpha.3,alpha.4,alpha.5,alpha.6,beta_trt,hazard_ratio
# Adaptation terminated
# Step size = 0.462869
# Diagonal elements of inverse mass matrix:
# 0.102474, 0.231317, 0.289109, 0.252011, 0.566656, 2.17778, 0.123977
-100.54399,0.97115872,0.46286893,3,7,0,102.44014,-2.4873143,-3.750664,-3.619578,-2.3358601,-2.5951933,-0.53155972,-0.08621164,0.91740005
-101.89065,0.8024338,0.46286893,3,7,0,104.29874,-2.5087831,-3.6014216,-4.4389111,-2.5158773,-1.8138904,-3.4995961,-0.4993558,0.60692151
-99.301653,0.99618491,0.46286893,4,15,0,103.37986,-2.2906344,-3.0046183,-3.0370396,-2.6277204,-2.5409094,-0.3438895,-0.55991114,0.57125982
-100.77683,0.92454002,0.46286893,3,7,0,103.92982,-2.667439,-3.6579592,-3.5507749,-2.9082765,-0.93283584,-3.3732856,-0.049806179,0.95141381
-100.29704,0.81341413,0.46286893,2,3,0,103.45867,-2.4129286,-3.800288,-3.3822415,-2.6839597,-0.93685832,-3.5975236,-0.29553485,0.74413348
-100.08103,0.95947596,0.46286893,3,7,0,102.35383,-2.3219671,-3.6736991,-3.6172606,-2.6717082,-1.2789424,-3.4961756,-0.54813247,0.57802829
-100.44953,0.95835051,0.46286893,3,7,0,103.18176,-2.4324359,-3.3296665,-3.6245993,-1.5880098,-2.0656267,-3.1046837,-0.32447169,0.72290917
-98.591466,0.9654729,0.46286893,3,7,0,101.85014,-2.6313973,-3.1851567,-3.5073191,-2.2807748,-1.8927646,-3.3720325,-0.14712423,0.86318674
-99.94457,0.81024435,0.46286893,3,7,0,101.07492,-2.6221076,-2.9529234,-3.5631499,-2.5218864,-1.7354458,-2.782596,-0.72642166,0.48363651
-101.30817,0.94121599,0.46286893,2,3,0,103.04918,-2.6035179,-3.149162,-2.6228889,-1.9411358,-2.1557445,-2.9797238,-0.080857573,0.92232505
-101.19452,1,0.46286893,3,7,0,104.4235,-2.5999778,-3.9187741,-4.0631729,-2.7350306,-1.2437187,-0.79014923,-0.16031402,0.85187624
-101.3174,0.68301936,0.46286893,3,7,0,105.39624,-2.5420766,-3.9861641,-3.9184047,-2.5070638,-1.7890372,-3.2403722,-0.50999076,0.60050113
-99.950623,1,0.46286893,3,7,0,103.34011,-2.8289397,-3.1749852,-2.878661,-2.5238395,-2.3899172,-4.5229772,-0.208899,0.81147719
-101.71106,0.89128144,0.46286893,3,7,0,102.66674,-2.7865826,-3.085259,-3.1242257,-3.1374552,-2.8402625,-4.2868915,-0.40026285,0.67014388
-100.45748,0.96120335,0.46286893,3,7,0,104.72062,-2.4052215,-3.1198622,-2.8746384,-2.6174562,-3.6160167,-1.9584576,-0.41217426,0.66220887
-99.37399,0.99382843,0.46286893,3,7,0,101.61256,-2.410137,-3.0847218,-3.2306694,-1.9362087,-0.6226208,-3.2194177,-0.65351269,0.52021521
-99.856271,0.95967356,0.46286893,3,7,0,101.26696,-2.4841415,-2.8486874,-2.9325209,-2.1482984,-0.60131342,-3.7004237,-0.80125599,0.44876496
-99.665319,0.90466422,0.46286893,3,7,0,104.38165,-2.023452,-2.6795282,-2.7051567,-1.7187622,-2.3976556,-1.9111619,-1.1035329,0.33169717
-98.351454,0.95175659,0.46286893,3,15,0,102.22167,-2.5914441,-3.2003209,-3.4575443,-2.3658954,-2.212445,-0.93750618,-0.3932169,0.67488235
-100.4025,0.92619338,0.46286893,3,7,0,101.30732,-2.2919933,-2.7793326,-4.2231616,-1.9058138,-1.6631555,-2.0067099,-0.50379766,0.60423163
-100.12303,0.95591861,0.46286893,3,15,0,102.68962,-2.453456,-2.9328428,-4.2302752,-2.2220861,-1.1987631,-2.3626339,-0.52061456,0.59415529
-104.50245,0.44511927,0.46286893,2,3,0,107.45013,-2.1503058,-2.5777927,-3.9852735,-1.9329213,-1.7619358,-3.0466312,-0.15029737,0.86045206
-102.43513,1,0.46286893,3,7,0,105.88178,-2.6849018,-2.9410294,-4.3514517,-2.4298999,-1.4324006,-2.8245495,-0.71709081,0.48817037
-100.44879,0.96808954,0.46286893,2,7,0,104.0379,-2.1954997,-2.7153717,-3.575138,-1.9271244,-1.600284,-2.5285082,-0.30716142,0.73553186
-101.75471,0.85720895,0.46286893,3,7,0,105.88931,-2.2209998,-3.4983362,-3.6635594,-3.0225869,-2.3419192,-0.57472397,-0.67150432,0.51093938
-105.23449,0.83173551,0.46286893,3,7,0,106.30918,-2.6548239,-2.5429107,-2.6134878,-1.258397,-0.73431767,-3.9464729,-1.3685932,0.25446468
-101.49609,1,0.46286893,3,7,0,106.45359,-1.9916836,-3.1667168,-2.9687808,-2.9945736,-2.2535146,-0.63379339,-0.94052318,0.39042352
-101.60901,0.99591212,0.46286893,3,7,0,103.9111,-2.5443635,-3.0350711,-4.1690684,-1.7908478,-1.1066866,-3.320739,-0.74141314,0.47644016
-102.90079,0.87776115,0.46286893,3,7,0,107.0684,-2.3769544,-2.9745317,-2.2446362,-3.0405731,-3.2493148,-0.86799113,-0.61062013,0.54301402
-101.49674,0.90220078,0.46286893,3,7,0,106.29926,-2.4468689,-2.9978123,-2.3254135,-3.2999029,-1.9673159,-1.7061794,-0.40574349,0.66648111
-101.66263,0.80004007,0.46286893,2,7,0,107.24946,-2.2068236,-3.8389467,-2.840391,-1.5320573,-1.3905491,-2.8900931,-1.0580866,0.34711934
-99.855362,0.93937073,0.46286893,3,7,0,107.21589,-2.4421679,-3.5843318,-2.3170458,-1.8794594,-1.4861796,-2.112919,-0.77606677,0.46021258
-97.754975,0.90618572,0.46286893,2,7,0,103.3469,-2.2347696,-3.2970591,-2.7695219,-2.1281454,-1.5576183,-1.4123666,-0.55258066,0.57546282
